t,a
L’apport du jardinage urbain de Russie à la théorisation de l’agriculture urbaine,"MARLOIE, Marcel"
L’apport du jardinage urbain de Russie à la théorisation de l’agriculture urbaine,"Marcel, Marloie"
L’apport du jardinage urbain de Russie à la théorisation de l’agriculture urbaine,"Marloie, Marcel"
L’apport du jardinage urbain de Russie à la théorisation de l’agriculture urbaine,"MARLOIE, M."
L’apport du jardinage urbain de Russie à la théorisation de l’agriculture urbaine,"Boukharaeva, Louiza"
Les répercussions de la campagne de Russie dans le royaume de Naples (1812-1815): origine ou révélateur d'une crise politique?,"Delpu, Pierre-Marie"
L'instauration d'un système à volets multiples pour les retraites en Fédération de Russie : modèle chilien ou suédois ?,"Berenger, Valérie"
Les enquêtes sur les « discours inconvenants » et l'imaginaire politique et social dans la Russie du xviie siècle,"Lukin, Pavel V."
Démonétisation en Russie : Un arbitrage favorable au maintien de l'emploi,"Brana, Sophie"
Faire la part entre l'art et l'activisme : les protestations spectaculaires dans la Russie contemporaine (2000-2010),"Zaytseva, Anna"
Faire la part entre l'art et l'activisme : les protestations spectaculaires dans la Russie contemporaine (2000-2010),"ZAYTSEVA, Anna"
Les vingt années de transformations en Russie : science et entreprises industrielles,"Peaucelle, Irina"
Les vingt années de transformations en Russie : science et entreprises industrielles,"Irina, Peaucelle"
« Représenter » la Russie : les Pitoëff et la France de l'entre-deux-guerres,"Plana, Muriel"
« Représenter » la Russie : les Pitoëff et la France de l'entre-deux-guerres,"PLANA, Muriel"
"Elisabeth Gessat-Anstett, Une Atlantide russe. Anthropologie de la mémoire en Russie post-soviétique","Mayer, Françoise"
Partie orientale de l'empire de Russie : extrait de l'Atlas Russien et d'autres cartes : avec pr. du roy,"Bonne, Rigobert"
La question des sureffectifs en Russie Une explication en termes de compétences,"Koumakhov, Rouslan"
Chronologie de l’implication de la Fédération de Russie dans le conflit tadjik 1992/1993,"Poujol, Catherine"
Chronologie de l’implication de la Fédération de Russie dans le conflit tadjik 1992/1993,"POUJOL, Catherine"
Chronologie de l’implication de la Fédération de Russie dans le conflit tadjik 1992/1993,"Poujol, Catherine (1956-....). Auteur du texte"
Un dilemme renouvelé : la Russie après le 11/9 et l’Irak,"Dressler, Wanda"
Un dilemme renouvelé : la Russie après le 11/9 et l’Irak,"DRESSLER, Wanda"
Évolution de la spécialisation internationale de la Russie depuis le début de la transition,"Garanina, Olga"
Dynamiques de pauvreté en Russie : une analyse en termes d'entrées et de sorties.,"Clément, Matthieu"
"La Pologne, la Russie et l'Europe occidentale, ou De la nécessité de résoudre la question russo-polonaise dans une conférence des grandes puissances / par le Bon Sirtema de Grovestins","Sirtema de Grovestins, Charles-Frédéric (1791-1874)"
"La Pologne, la Russie et l'Europe occidentale, ou De la nécessité de résoudre la question russo-polonaise dans une conférence des grandes puissances / par le Bon Sirtema de Grovestins","Sirtema de Grovestins, Charles-Frédéric"
Le transport en Russie : un secteur en mutation?,"Verny, Jérôme"
Démonétisation en Russie : Un arbitrage favorable au maintien de l'emploi,"Maurel, Mathilde"
Eurasie : Russie : Caucase : Caucase du Nord : Village d'éleveurs à Verkhmi Mary,"Radvanyi, Jean"
Eurasie : Russie : Caucase : Caucase du Nord : Village d'éleveurs à Verkhmi Mary,"RADVANYI, Jean"
Eurasie : Russie : Caucase : Caucase du Nord : Village d'éleveurs à Verkhmi Mary,"Jean, Radvanyi"
